keys,en,ru
"Бой 1","Battle 1","Бой 1"
"Пауза","Pause","Пауза"
"Продолжить","Resume","Продолжить"
"Сделайте комбинацию из трёх камней","Match three stones","Сделайте комбинацию из трёх камней"
"Соберите 3 камня в ряд","Match 3 stones in a row","Соберите 3 камня в ряд"
"КАСКАД ×%s","CASCADE ×%s","КАСКАД ×%s"
"Меч — наносит урон","Sword — deals damage","Меч — наносит урон"
"Магия — наносит магический урон","Magic — deals magic damage","Магия — наносит магический урон"
"Сердце — восстанавливает здоровье","Heart — restores health","Сердце — восстанавливает здоровье"
"Монета — приносит золото","Coin — grants gold","Монета — приносит золото"
"Камень — не образует комбинации","Stone — cannot form matches","Камень — не образует комбинации"
"ГЕРОЙ","HERO","ГЕРОЙ"
"ВРАГ","ENEMY","ВРАГ"
"БОСС","BOSS","БОСС"
"ТОРГОВЕЦ","MERCHANT","ТОРГОВЕЦ"
"Монеты: 0","Coins: 0","Монеты: 0"
"Уровень 1 · Опыт 0 / 40","Level 1 · XP 0 / 40","Уровень 1 · Опыт 0 / 40"
"Намерение: Атака 8","Intent: Attack 8","Намерение: Атака 8"
"Слабость: ?","Weakness: ?","Слабость: ?"
"Сопротивление: нет","Resistance: none","Сопротивление: нет"
"СЛАБОСТЬ ×1.50","WEAKNESS ×1.50","СЛАБОСТЬ ×1.50"
"СЛАБОСТЬ РАСКРЫТА","WEAKNESS REVEALED","СЛАБОСТЬ РАСКРЫТА"
"КАМЕННЫЙ ОБВАЛ · +3 ПУСТЫХ КАМНЯ","STONE COLLAPSE · +3 EMPTY STONES","КАМЕННЫЙ ОБВАЛ · +3 ПУСТЫХ КАМНЯ"
"ПОБЕДА · ПУТЬ ПРОДОЛЖАЕТСЯ","VICTORY · THE JOURNEY CONTINUES","ПОБЕДА · ПУТЬ ПРОДОЛЖАЕТСЯ"
"+18 опыта · +5 монет","+18 XP · +5 coins","+18 опыта · +5 монет"
"НОВЫЙ УРОВЕНЬ · ВЫБЕРИТЕ УЛУЧШЕНИЕ","LEVEL UP · CHOOSE AN UPGRADE","НОВЫЙ УРОВЕНЬ · ВЫБЕРИТЕ УЛУЧШЕНИЕ"
"Улучшение 1","Upgrade 1","Улучшение 1"
"Улучшение 2","Upgrade 2","Улучшение 2"
"Улучшение 3","Upgrade 3","Улучшение 3"
"ПАУЗА","PAUSED","ПАУЗА"
"МАГАЗИН","SHOP","МАГАЗИН"
"Лечение","Healing","Лечение"
"Улучшение","Upgrade","Улучшение"
"Реликвия","Relic","Реликвия"
"Обновить · 15","Refresh · 15","Обновить · 15"
"Уйти","Leave","Уйти"
"Заросшие руины · Бой 1/10","Overgrown Ruins · Battle 1/10","Заросшие руины · Бой 1/10"
"⚔\nГЕРОЙ","⚔\nHERO","⚔\nГЕРОЙ"
"В пути...","On the road...","В пути..."
"ЗАРОСШИЕ РУИНЫ ПРОЙДЕНЫ","OVERGROWN RUINS CLEARED","ЗАРОСШИЕ РУИНЫ ПРОЙДЕНЫ"
"10 боёв завершено","10 battles completed","10 боёв завершено"
"ЗАБЕГ ЗАВЕРШЁН","RUN ENDED","ЗАБЕГ ЗАВЕРШЁН"
"Герой пал в бою","The hero fell in battle","Герой пал в бою"
"В меню","Main menu","В меню"
"КАМНИ И КЛИНКИ","GEMS & BLADES","КАМНИ И КЛИНКИ"
"Каждый новый путь начинается без накопленного прогресса","Every new journey starts without accumulated progress","Каждый новый путь начинается без накопленного прогресса"
"Новый забег","New run","Новый забег"
"Путешествие завершено","Journey ended","Путешествие завершено"
"Камни и Клинки","Gems & Blades","Камни и Клинки"
"Путь через руины завершён","The path through the ruins is complete","Путь через руины завершён"
"Герой идёт дальше...","The hero travels onward...","Герой идёт дальше..."
"Встреча: %s","Encounter: %s","Встреча: %s"
"Встреча с врагом","Enemy encounter","Встреча с врагом"
"Встреча с боссом","Boss encounter","Встреча с боссом"
"Встреча с торговцем","Merchant encounter","Встреча с торговцем"
"10 боёв завершено · Магазинов: %d\nУровень: %d · Монеты: %d","10 battles completed · Shops: %d\nLevel: %d · Coins: %d","10 боёв завершено · Магазинов: %d\nУровень: %d · Монеты: %d"
"Глубина: бой %d · Побед: %d\nДлительность: %02d:%02d · Магазинов: %d\nУровень: %d · Монеты: %d · Реликвии: %d","Depth: battle %d · Wins: %d\nDuration: %02d:%02d · Shops: %d\nLevel: %d · Coins: %d · Relics: %d","Глубина: бой %d · Побед: %d\nДлительность: %02d:%02d · Магазинов: %d\nУровень: %d · Монеты: %d · Реликвии: %d"
"Заросшие руины","Overgrown Ruins","Заросшие руины"
"Пепельные шахты","Ashen Mines","Пепельные шахты"
"Башня безмолвия","Tower of Silence","Башня безмолвия"
"Цикл %d · лимит пустых камней +%d","Cycle %d · empty stone limit +%d","Цикл %d · лимит пустых камней +%d"
